"[AGVN-KT409]- BÁO CÁO TỔNG HỢP NHẬP XUẤT TỒN NGUYÊN VẬT LIỆU  -  QUÝ I/2026","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STT","MÃ NL","TÊN NGUYÊN LIỆU","TUỔI ","TỒN ĐẦU KÌ","","THÁNG 01","","","","","","THÁNG 02","","","","","","THÁNG 03","","","","","","QUÝ I/2026","","","","TỒN CUỐI KÌ",""
"65","PKPT950-PD","Phụ kiện PT95-PD","95.00%","23.72","0.60","-","-","-","-","23.72","0.60","-","-","-","-","23.72","0.60","-","-","-","-","23.72","0.60","-","-","-","-","23.72","0.60"
"66","PKPT950","Phụ kiện PT95","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C.2","PHỤ KIỆN PT","","","114.98","2.79","104.45","2.51","131.03","3.15","88.40","2.15","103.91","2.49","104.05","2.50","88.26","2.15","-","-","-","-","88.26","2.15","208.36","5.00","235.08","5.64","88.26","2.15"
"67","BTPDAYPT900","BTP Dây PT90","90.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"68","BTPDAYPT900-PD","BTP Dây PT90-PD","90.00%","119.80","2.88","464.09","11.14","394.63","9.47","189.26","4.54","950.12","22.81","1139.34","27.35","0.04","0.00","-","-","-","-","0.04","0.00","1414.21","33.94","1533.97","36.82","0.04","0.00"
"69","BTPDAYPT950-PD","BTP Dây PT95-PD","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"70","BTPDAYPT950","BTP Dây PT95","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C.3","BÁN THÀNH PHẨM PT","","","119.80","2.88","464.09","11.14","394.63","9.47","189.26","4.54","950.12","22.81","1139.34","27.35","0.04","0.00","-","-","-","-","0.04","0.00","1414.21","33.94","1533.97","36.82","0.04","0.00"
"71","TPPT900","TP Dây PT90","90.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"72","TPPT900-PD","TP Dây PT90-PD","90.00%","0.02","0.00","137.25","3.29","137.25","3.29","0.02","0.00","467.05","11.21","467.05","11.21","0.02","0.00","-","-","-","-","0.02","0.00","604.30","14.50","604.30","14.50","0.02","0.00"
"73","TPPT950-PD","TP Dây PT95-PD","95.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"74","TPPT970-PD","TP Dây PT97-PD","97.00%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"C.4","THÀNH PHẨM PT","","","0.02","0.00","137.25","3.29","137.25","3.29","0.02","0.00","467.05","11.21","467.05","11.21","0.02","0.00","-","-","-","-","0.02","0.00","604.30","14.50","604.30","14.50","0.02","0.00"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
