"CÔNG TY TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
" [AGVN-C3112] - BÁO CÁO NHẬP XUẤT TỒN KHO NGUYÊN VẬT LIỆU","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Từ ngày:","31/12/2024","","Đến ngày:","07/01/2025","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","0.00","","","-19741.43","","","-19529.74","","","","","","0.00","","","","","","","",""
"MÃ HÀNG","TÊN HÀNG HÓA","LOẠI 
VÀNG","TUỔI
 VÀNG","TỒN ĐẦU KỲ","","","NHẬP TRONG KỲ","","","XUẤT TRONG KỲ","","","TỒN CUỐI KỲ SỔ SÁCH","","","TỒN CUỐI KỲ THỰC TẾ","","","CHÊNH LỆCH","","GHI CHÚ","","",""
"","","","","TL
"DDL40750W","Bán thành phẩm dây khoen lật vàng 750W, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"DDL50750W","Bán thành phẩm dây khoen lật vàng 750W, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"DDL60750W","Bán thành phẩm dây khoen lật vàng 750W, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"c. Dây Franco ","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFT30750W","Bán thành phẩm dây Franco tròn 750W, size 0.30mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV30750W","Bán thành phẩm dây Franco vuông vàng 18KT, size 0.3mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV35750W","Bán thành phẩm dây Franco vuông vàng 18KT, size 0.35mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","",""
"DDFV40750W","Bán thành phẩm dây Franco vuông 750W, size 0.40mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","Đóng dòng"
"DDFV50750W","Bán thành phẩm dây Franco vuông 750W, size 0.50mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
"DDFV60750W","Bán thành phẩm dây Franco vuông 750W, size 0.60mm","18K","75.00%","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","","","","","","Đóng dòng"
