"STT","NGÀY XUẤT","SỐ CHỨNG TỪ","DIỄN GIẢI","MÃ HÀNG","TÊN MÃ HÀNG","ĐƠN GIÁ 
(lượng)","ĐVT","QTY BAN ĐẦU","TL BAN ĐẦU","TL THỰC NHẬN
gr","NGUỒN NHẬP","GHI CHÚ"
"72","10/21/2021","XKNL.T10-013","Xuất 6L938Lượng vàng 24K (CML đã duyệt lúc: 04.13PM ngày 20/10/21 qua task ERP ĐỢT 1)","24K","Vàng 24K","260.13","gr","","260.13","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"73","10/22/2021","XKNL.T10-014","Xuất 5L9050Lượng vàng 24K (CML đã duyệt lúc: 04.13PM ngày 20/10/21 qua task ERP ĐỢT 2)","24K","Vàng 24K","221.38","gr","","221.38","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"74","10/27/2021","XKNL.T10-017","Xuất 6 lượng vàng 24K (CML duyệt ngày 25/10/2021 11:02AM)","24K","Vàng 24K","","g","","224.38g","","",""
"75","11/01/2021","XKNL.T11-019","Xuất 7L3.995 lượng vàng 24K đợt 1 (CML duyệt ngày 01/11/2021)","24K","Vàng 24K","","gr","","277.57","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"76","11/01/2021","XKNL.T11-021","Xuất 18L5955lượng vàng 24K (CML duyệt ngày 29/10/2021)-PGP","24K","Vàng 24K","","gr","","697.27","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"77","11/02/2021","XKNL.T11-022","Xuất 9L8.865 lượng vàng 24K đợt 2 (CML duyệt ngày 01/11/2021 10:56 AM)","24K","Vàng 24K","","gr","","370.92","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"78","11/08/2021","XKNL.T11-024","Xuất 7L9522lượng vàng 24K (CML duyệt ngày 08/11/2021)","24K","Vàng 24K","","gr","","298.21","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"79","11/09/2021","XKNL.T11-025","Xuất 4L9900lượng vàng 24K (CML duyệt ngày 08/11/2021 10:18AM)","24K","Vàng 24K","","gr","","","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"80","11/10/2021","XKNL.T11-026","Xuất 16L4002lượng vàng 24K (CML duyệt ngày 19/10/2021)-PGP","24K","Vàng 24K","","gr","","615.0075","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"81","11/12/2021","XKNL.T11-027","Xuất 9L9269 lượng vàng 24K (CML duyệt ngày 11/11/2021 05:13PM)","24K","Vàng 24K","","gr","","372.26","372.25","Khác","Xuất nhập Kho NVL (Chị Trân)"
"82","11/16/2021","XKNL.T11-032","Xuất 9L8618 lượng vàng 24K đợt 1 (CML duyệt ngày 15/11/2021 12:56PM)","24K","Vàng 24K","","gr","","369.82","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"83","11/17/2021","XKNL.T11-033","Xuất 6L9946 lượng vàng 24K đợt 2 (CML duyệt ngày 15/11/2021 12:56PM)","24K","Vàng 24K","","gr","","262.3","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"84","11/20/2021","XKNL.T11-035","Xuất 9L9464 lượng vàng 24K đợt 1 (CML duyệt ngày 20/11/2021)","24K","Vàng 24K","","gr","","372.99","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"85","11/20/2021","XKNL.T11-036","Xuất 9L9954 lượng vàng 24K đợt 2 (CML duyệt ngày 20/11/2021)","24K","Vàng 24K","","gr","","374.83","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"86","11/23/2021","XKNL.T11-037","Xuất 9L9312 lượng vàng 24K đợt 3 (CML duyệt ngày 20/11/2021)","24K","Vàng 24K","","gr","","372.42","372.41","Khác","Xuất nhập Kho NVL (Chị Trân)"
"87","29/11/2021","XKNL.T11-040","Xuất đợt 1: Cần có: trong ngày thứ 3, ngày 30/11, để SX đơn hàng KHÁCH:11L (sử dụng vàng 24K 99.99) CML duyệt 4.46PM, ngày 26/11/2021","24K","Vàng 24K","","gr","","410.31g","410.3g","",""
"88","01/12/2021","XKNL.T12-001","Xuất đợt 2: :Cần có: trong ngày thứ 4, ngày 1/12, để SX đơn hàng KHÁCH:5L (sử dụng vàng 24K 99.99-PK) CML duyệt 4.46PM, ngày 26/11/2021","24K","Vàng 24K","","gr","","","","",""
"89","09/12/2021","XKNL.T12-002","Xuất 10L9592 lượng vàng 24K đợt 1 (CML duyệt ngày 08/12/2021 01:21PM)","24K","Vàng 24K","","gr","","410.97gr","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"90","10/12/2021","XKNL.T12-004","Xuất 8L9837 lượng vàng 24K đợt 2 (CML duyệt ngày 08/12/2021 01:21PM)","24K","Vàng 24K","","gr","","336.89gr","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"91","11/12/2021","XKNL.T12-005","Xuất 5L9800 lượng vàng 24K đợt 3 (CML duyệt ngày 08/12/2021 01:21PM)","24K","Vàng 24K","","gr","","224.25gr","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"92","17/12/2021","XKNL.T12-008","Xuất 39.8359 lượng vàng 24K-PGP0521","24K","Vàng 24K","","gr","","1493.84625","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"93","21/12/2021","XKNL.T12-0011","Xuất 9L4010 lượng vàng 24K đợt 2 (CML duyệt ngày 18/12/2021 04:11PM)","24K","Vàng 24K","","gr","","352.54gr","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"94","22/12/2021","XKNL.T12-0013","Xuất 12L5685 lượng vàng 24K đợt 3 (CML duyệt ngày 18/12/2021 04:11PM)","24K","Vàng 24K","","gr","","471.32gr","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"95","25/12/2021","XKNL.T12-0015","Xuất 7L012 lượng vàng 24K đợt 4 (CML duyệt ngày 18/12/2021 04:11PM)","24K","Vàng 24K","","gr","","262.95","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"96","28/12/2021","XKNL.T12-0017","Xuất Đợt 2:Cần có: chiều ngày thứ 3, ngày 28/12, để SX đơn hàng KHÁCH:10L (sử dụng vàng 24K 99.99)","24K","Vàng 24K","","gr","","373.97","","Kho Tổng",""
"97","29/12/2021","XKNL.T12-0018","Xuất 10L0024 lượng vàng 24K đợt 3","24K","Vàng 24K","","gr","","375.09","","Khác","Xuất nhập Kho NVL (Chị Trân)"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","BẢNG KÊ CHI PHÍ MUA NVL VÀNG NĂM 2021","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Tổng cộng thu/chi trong năm 2021","","","","","  -   ","  -   ","  -   ","  29,413,672 ","  -   ","  -   ","",""
"   Chứng từ","","Tên KH/NV","Diễn giải","Tài khoản","SỐ TIỀN THU","","","SỐ TIỀN CHI ","","","",""
"Ngày","Số","Tên KH/NV","Diễn giải","Tài khoản","Thu Tiền mặt VNĐ","Thu Tiền mặt 
ngoại tệ","Thu Bank"," Chi Tiền mặt VNĐ ","Chi Tiền mặt
ngoại tệ","Chi Bank","",""
"11/1/2021"," PC048/01 "," Nguyễn Thị Thúy Hằng ","Chi mua 3L5010 Lượng vàng 24K* 54,620,000vnđ + phí đi lại (42,000đ)"," 1111-CH2 ","","","","  191,266 ","","","",""
"13/01/2021"," PC069/01 "," Nguyễn Thị Thúy Hằng ","Chi mua 1L0070 Lượng vàng 24K* 54,880,000vnđ + phí đi lại (48,000đ)"," 1111-CH2 ","","","","  55,312 ","","","",""
"18/01/2021"," PC091/01 "," Nguyễn Thị Thúy Hằng "," Chi mua 6L0003 vàng 24K* 54,710,000vnđ + phí đi lại (55,000đ) "," 1111-CH2 ","","","","  328,331 ","","","",""
"25/01/2021"," PC135/01 ","Trần Thị Ngọc Tươi","Chi mua 120032 Lượng vàng 24K* 54.650.000vnđ/lượng= 655.974.000vnđ+33.000vnđ( tiền xe đi mua vàng)"," 1111-CH2 ","","","","  656,007 ","","","",""
"30/01/2021"," PC172/01 "," Trần Thị Ngọc Tươi ","Chi mua 6L9999 Lượng vàng 24K* 54.340.000vnđ/lượng= 380.374.000vnđ+42.000vnđ( tiền xe đi mua vàng)"," 1111-CH2 ","","","","  380,416 ","","","",""
"2/2/2021","","Nguyễn Thị Thúy Hằng","Chi mua 8L0022 Lượng vàng 24K* 54.380.000vnđ/lượng= 435.159.000vnđ+ 43000vnđ( tiền xe đi mua vàng)"," 1111-CH2 ","","","","  435.202 ","","","",""
"3/2/2022","PC029/02","Nguyễn Thị Trúc Duyên","Chi mua 7L0003 Lượng vàng 24K* 54.260.000vnđ/lượng = 379.836.000đ + 51.000đ (phí đi lại)"," 1111-CH2 ","","","","  379.887 ","","","",""
"6/2/2021","PC061/02","Nguyễn Thị Thúy Hằng","Chi mua 7L0018 Lượng vàng 24K* 54.200.000vnđ/lượng = 379.497.000đ + 45.000đ (phí đi lại)"," 1111-CH2 ","","","","  379.542 ","","","",""
"8/2/2021","PC073C/02","Nguyễn Thị Thúy Hằng","Chi mua 6L0051 Lượng vàng 24K* 54.580.000vnđ/lượng = 327.758.000đ + 120.000đ (phí đi lại)"," 1111-CH2 ","","","","  327.878 ","","","",""
"18/02/2021","PC095/02","Nguyễn Thị Trúc Duyên","Chi mua 4.0024 Lượng vàng 24K* 54.360.000vnđ/lượng = 217.570.000đ + 53.000đ (phí đi lại)"," 1111-CH2 ","","","","  217.623 ","","","",""
"23/02/2021","PC112/02","Nguyễn Thị Thúy hằng","Chi mua 11L0033 Lượng vàng 24K* 54.370.000vnđ/lượng"," 1111-CH2 ","","","","  598.249 ","","","",""
"26/02/2021","PC125/02","Nguyễn Thị Thúy Hằng","Chi mua 3.0048 Lượng vàng 24K* 53.410.000vnđ/lượng = 160.486.000đ+ 53.000đ( tiền xe)"," 1111-CH2 ","","","","  160.539 ","","","",""
