"CÔNG TY TNHH ASIANA GOLD","","","",""
"","","","",""
"DANH MỤC NGUYÊN VẬT LIỆU","","","",""
"","","","",""
"Mã hàng","Tên hàng","Tuổi vàng (K)","Tuổi","MÃ NHÓM NL"
"I. NGUYÊN LIỆU VÀNG","","","",""
"A. THÀNH PHẨM","","","",""
"DDFV60750Y","Dây Franco vuông 0.60,750Y","18K","75.00%","BTPDAY18K"
"DDMV30750Y","Dây mì vuông 0.30,750Y","18K","75.00%","BTPDAY18K"
"DDMX130750Y","Dây mì dẹp xoắn 0.30,750Y","18K","75.00%","BTPDAY18K"
"DDMD60750Y","Dây mì dẹp 0.60,750Y","18K","75.00%","BTPDAY18K"
"DDC25750W","Dây chữ cong 0.25,750W","18K","75.00%","BTPDAY18K"
"DDC30750W","Dây chữ cong 0.30,750W","18K","75.00%","BTPDAY18K"
"DDC35750W","Dây chữ cong 0.35,750W","18K","75.00%","BTPDAY18K"
"DDC40750W","Dây chữ cong 0.40,750W","18K","75.00%","BTPDAY18K"
"DDC45750W","Dây chữ cong 0.45,750W","18K","75.00%","BTPDAY18K"
"DDC50750W","Dây chữ cong 0.50,750W","18K","75.00%","BTPDAY18K"
"DDC60750W","Dây chữ cong 0.60,750W","18K","75.00%","BTPDAY18K"
"DDCK30750W","Dây cong khế 0.30,750W","18K","75.00%","BTPDAY18K"
"DDCK35750W","Dây cong khế 0.35,750W","18K","75.00%","BTPDAY18K"
"DDCK40750W","Dây cong khế 0.40,750W","18K","75.00%","BTPDAY18K"
"DDCK50750W","Dây cong khế 0.50,750W","18K","75.00%","BTPDAY18K"
"DDCK60750W","Dây cong khế 0.60,750W","18K","75.00%","BTPDAY18K"
"DDL30750W","Dây khoen lật 0.30,750W","18K","75.00%","BTPDAY18K"
"DDL35750W","Dây khoen lật 0.35,750W","18K","75.00%","BTPDAY18K"
"DDL40750W","Dây khoen lật 0.40,750W","18K","75.00%","BTPDAY18K"
"DDL50750W","Dây khoen lật 0.50,750W","18K","75.00%","BTPDAY18K"
"DDL60750W","Dây khoen lật 0.60,750W","18K","75.00%","BTPDAY18K"
"DDL70750W","Dây khoen lật 0.70,750W","18K","75.00%","BTPDAY18K"
"DDFV30750W","Dây Franco vuông 0.30,750W","18K","75.00%","BTPDAY18K"
"DDFV35750W","Dây Franco vuông 0.35,750W","18K","75.00%","BTPDAY18K"
"DDFV40750W","Dây Franco vuông 0.40,750W","18K","75.00%","BTPDAY18K"
"DDFV50750W","Dây Franco vuông 0.50,750W","18K","75.00%","BTPDAY18K"
"DDFV60750W","Dây Franco vuông 0.60,750W","18K","75.00%","BTPDAY18K"
"DDFV70750W","Dây Franco vuông 0.70,750W","18K","75.00%","BTPDAY18K"
"DDMX130750W","Dây mì dẹp xoắn 0.30,750W","18K","75.00%","BTPDAY18K"
"DDMV30750W","Dây mì vuông 0.30,750W","18K","75.00%","BTPDAY18K"
"DDMD30750W","Dây mì dẹp 0.30,750W","18K","75.00%","BTPDAY18K"
"DDC30750R","Dây chữ cong 0.30,750R","18K","75.00%","BTPDAY18K"
"DDC40750R","Dây chữ cong 0.40,750R","18K","75.00%","BTPDAY18K"
"DDCK40750R","Dây cong khế 0.40,750R","18K","75.00%","BTPDAY18K"
"DDCK45750R","Dây cong khế 0.45,750R","18K","75.00%","BTPDAY18K"
"DDC45750R","Dây chữ cong 0.45,750R","18K","75.00%","BTPDAY18K"
"DDC25680Y","Dây chữ cong 0.25,680Y","16K","68.00%","BTPDAY16K"
"DDC30680Y","Dây chữ cong 0.30,680Y","16K","68.00%","BTPDAY16K"
"DDC35680Y","Dây chữ cong 0.35,680Y","16K","68.00%","BTPDAY16K"
"DDC40680Y","Dây chữ cong 0.40,680Y","16K","68.00%","BTPDAY16K"
"DDC50680Y","Dây chữ cong 0.50,680Y","16K","68.00%","BTPDAY16K"
"DDC60680Y","Dây chữ cong 0.60,680Y","16K","68.00%","BTPDAY16K"
"DDC70680Y","Dây chữ cong 0.70,680Y","16K","68.00%","BTPDAY16K"
"DDCK30680Y","Dây cong khế 0.30,680Y","16K","68.00%","BTPDAY16K"
"DDCK35680Y","Dây cong khế 0.35,680Y","16K","68.00%","BTPDAY16K"
"DDCK40680Y","Dây cong khế 0.40,680Y","16K","68.00%","BTPDAY16K"
"DDCK50680Y","Dây cong khế 0.50,680Y","16K","68.00%","BTPDAY16K"
"DDCK60680Y","Dây cong khế 0.60,680Y","16K","68.00%","BTPDAY16K"
"DDCK70680Y","Dây cong khế 0.70,680Y","16K","68.00%","BTPDAY16K"
"DDL30680Y","Dây khoen lật 0.30,680Y","16K","68.00%","BTPDAY16K"
"DDL35680Y","Dây khoen lật 0.35,680Y","16K","68.00%","BTPDAY16K"
"DDL40680Y","Dây khoen lật 0.40,680Y","16K","68.00%","BTPDAY16K"
"DDL50680Y","Dây khoen lật 0.50,680Y","16K","68.00%","BTPDAY16K"
"DDL60680Y","Dây khoen lật 0.60,680Y","16K","68.00%","BTPDAY16K"
"DDL70680Y","Dây khoen lật 0.70,680Y","16K","68.00%","BTPDAY16K"
"DDFV30680Y","Dây Franco vuông 0.30,680Y","16K","68.00%","BTPDAY16K"
"DDFV35680Y","Dây Franco vuông 0.35,680Y","16K","68.00%","BTPDAY16K"
"DDFV40680Y","Dây Franco vuông 0.40,680Y","16K","68.00%","BTPDAY16K"
"DDFV50680Y","Dây Franco vuông 0.50,680Y","16K","68.00%","BTPDAY16K"
"DDFV60680Y","Dây Franco vuông 0.60,680Y","16K","68.00%","BTPDAY16K"
"DDFV70680Y","Dây Franco vuông 0.70,680Y","16K","68.00%","BTPDAY16K"
